School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
Ednovate - USC Hybrid High College Prep,90037,9-10,XR,2-Monica Garcia,3939 S Vermont Ave Los Angeles CA 90037,34.0137215,-118.2916956,20,62
John Marshall Senior High Gifted Magnet,90027,9-12,C,5-Vacant,3939 Tracy St Los Angeles CA 90027,34.1077961,-118.2771922,3,5
Grand View Boulevard Elementary,90066,K- 5,W,4-Nick Melvoin,3951 Grand View Blvd Los Angeles CA 90066,34.0023667,-118.42959979999999,6,22
Glenfeliz Boulevard Elementary,90039,K- 6,C,5-Vacant,3955 Glenfeliz Blvd Los Angeles CA 90039,34.1225096,-118.26759990000001,14,17
James J McBride Special Education Center,90066,6-12,W,4-Nick Melvoin,3960 Centinela Ave Los Angeles CA 90066,34.001280799999996,-118.4308281,6,24
Stella Elementary Charter Academy,90008,K- K,XR,1-Dr George J McKenna III,3970 Potomac Ave Los Angeles CA 90008,34.0141158,-118.34912720000001,1,19
Mount Washington Elementary,90065,K- 6,C,5-Vacant,3981 San Rafael Ave Los Angeles CA 90065,34.104808500000004,-118.2159867,1,17
Martin Luther King Jr Elementary,90062,K- 5,C,1-Dr George J McKenna III,3989 S Hobart Blvd Los Angeles CA 90062,34.01173970000001,-118.30806640000002,13,52
Early College Academy - LA Trade Tech College,90015,9-12,C,2-Monica Garcia,400 W Washington Blvd Los Angeles CA 90015,34.032551500000004,-118.2697468,29,86
Wallis Annenberg High School,90037,9-12,XR,7-Dr Richard A Vladovic,4000 S Main St Los Angeles CA 90037,34.010732,-118.27376640000001,20,56
Marlton School,90008,PK-12,W,1-Dr George J McKenna III,4000 Santo Tomas Dr Los Angeles CA 90008,34.0088989,-118.343775,3,34
City Language Immersion Charter,90019,K- 2,XR,1-Dr George J McKenna III,4001 Venice Blvd Los Angeles CA 90019,34.0439581,-118.3248642,7,70
Ricardo Lizarraga Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,401 E 40th Pl Los Angeles CA 90011,34.0105253,-118.2676913,15,57
Robert F Kennedy Elementary,90063,K- 6,E,5-Vacant,4010 E Ramboz Drive Los Angeles CA 90063,34.05388060000001,-118.17756640000002,0,0
Center for Advanced Learning,90011,K- 5,XR,5-Vacant,4016 S Central Ave Los Angeles CA 90011,34.010628499999996,-118.2557915,9,44
Hillcrest Drive Elementary,90008,K- 5,W,1-Dr George J McKenna III,4041 Hillcrest Dr Los Angeles CA 90008,34.013276399999995,-118.347633,2,21
122nd Street Elementary,90061,K- 5,S,7-Dr Richard A Vladovic,405 E 122nd St Los Angeles CA 90061,33.922068100000004,-118.2674172,3,23
Wilshire Park Elementary School,90005,K- 5,W,2-Monica Garcia,4063 Ingraham St Los Angeles CA 90005,34.06097889999999,-118.3165408,12,35
Johnnie L Cochran Jr Middle School,90019,6- 8,W,1-Dr George J McKenna III,4066 W Johnnie Cochran Vista Los Angeles CA 90019,34.0417463,-118.32683490000002,7,47
Hancock Park Elementary,90036,K- 5,W,4-Nick Melvoin,408 S Fairfax Ave Los Angeles CA 90036,34.069502,-118.360216,6,18
South Gate Middle School,90280,6- 8,E,5-Vacant,4100 Firestone Blvd South Gate CA 90280,33.9531625,-118.1981384,0,0
Rancho Dominguez Preparatory School,90810,6-12,S,7-Dr Richard A Vladovic,4110 Santa Fe Ave Long Beach CA 90810,33.833734,-118.21596240000001,0,0
Eastman Avenue Elementary,90023,K- 5,E,2-Monica Garcia,4112 E Olympic Blvd Los Angeles CA 90023,34.01724060000001,-118.18471869999999,0,8
Audubon Middle School,90008,6- 8,W,1-Dr George J McKenna III,4120 11th Ave Los Angeles CA 90008,34.009304799999995,-118.32921110000001,27,45
Manual Arts Senior High,90037,9-12,C,1-Dr George J McKenna III,4131 S Vermont Ave Los Angeles CA 90037,34.0088223,-118.2921733,23,69
Global Education Academy,90037,K- 5,XR,1-Dr George J McKenna III,4141 S Figueroa St Los Angeles CA 90037,34.0083565,-118.28313,15,79
Menlo Avenue Elementary,90037,K- 5,C,1-Dr George J McKenna III,4156 Menlo Ave Los Angeles CA 90037,34.0077277,-118.28966129999999,18,76
Sheridan Street Elementary,90033,K- 6,E,2-Monica Garcia,416 N Cornwell St Los Angeles CA 90033,34.0502723,-118.2076132,11,30
Delevan Drive Elementary,90065,K- 6,C,5-Vacant,4168 W Avenue 42 Los Angeles CA 90065,34.1275464,-118.22721509999998,5,17
Charles W Barrett Elementary,90003,K- 5,S,1-Dr George J McKenna III,419 W 98th St Los Angeles CA 90003,33.9477666,-118.28102890000001,22,88
4th Street Elementary,90022,2- 5,E,2-Monica Garcia,420 S Amalia Ave Los Angeles CA 90022,34.0286833,-118.15331940000002,0,0
Thomas Starr King MS Env Sci/Tech/Engineering/Arts/Math Mag,90029,6- 8,C,5-Vacant,4201 Fountain Ave Los Angeles CA 90029,34.0960386,-118.28102890000001,1,14
Canyon Charter Elementary,90402,K- 5,W,4-Nick Melvoin,421 Entrada Dr Santa Monica CA 90402,34.032899799999996,-118.5119618,0,2
Rosemont Avenue Elementary,90026,2- 5,C,2-Monica Garcia,421 N Rosemont Ave Los Angeles CA 90026,34.0723117,-118.2699067,10,38
Esteban Torres HS - East Los Angeles Performing Arts Magnet,90063,9-12,E,2-Monica Garcia,4211 Dozier St Los Angeles CA 90063,34.0421073,-118.1752691,0,0
Alexandria Avenue Elementary,90004,K- 5,C,2-Monica Garcia,4211 Oakwood Ave Los Angeles CA 90004,34.0777955,-118.29895819999999,26,105
Marianna Avenue Elementary,90063,K- 6,E,2-Monica Garcia,4215 E Gleason St Los Angeles CA 90063,34.035360600000004,-118.17530409999999,0,0
Dixie Canyon Community Charter,91423,K- 5,NE,3-Scott M Schmerelson,4220 Dixie Canyon Ave Sherman Oaks CA 91423,34.1476033,-118.4245706,1,6
Barton Hill Elementary,90731,K- 6,S,7-Dr Richard A Vladovic,423 N Pacific Ave San Pedro CA 90731,33.7465033,-118.28824540000001,35,67
42nd Street Elementary,90008,K- 5,W,1-Dr George J McKenna III,4231 4th Ave Los Angeles CA 90008,34.0063961,-118.3217663,6,61
Lanai Road Elementary,91436,K- 5,NW,4-Nick Melvoin,4241 Lanai Rd Encino CA 91436,34.148169700000004,-118.49273729999999,0,2
Teresa P Hughes Elementary,90201,K- 6,E,5-Vacant,4242 Clara St Cudahy CA 90201,33.9658136,-118.193036,0,0
Rio Vista Elementary,91602,K- 5,NE,3-Scott M Schmerelson,4243 Satsuma Ave North Hollywood CA 91602,34.147487899999994,-118.36782190000001,2,11
Bandini Street Elementary,90731,K- 6,S,7-Dr Richard A Vladovic,425 N Bandini St San Pedro CA 90731,33.7464271,-118.29920659999999,4,60
Latona Avenue Elementary,90031,K- 6,E,2-Monica Garcia,4312 Berenice Ave Los Angeles CA 90031,34.09190039999999,-118.2026324,2,16
West Vernon Avenue Elementary,90037,K- 5,C,7-Dr Richard A Vladovic,4312 S Grand Ave Los Angeles CA 90037,34.0047559,-118.2800697,20,68
Bell Senior High Gifted Science/Tech/Eng/Math Magnet,90201,9-12,E,5-Vacant,4328 Bell Ave Bell CA 90201,33.9724171,-118.19013729999999,0,0
Sierra Vista Elementary,90032,K- 6,E,5-Vacant,4342 Alpha St Los Angeles CA 90032,34.095657,-118.15851200000002,0,4
Lockwood Avenue Elementary,90029,K- 6,C,5-Vacant,4345 Lockwood Ave Los Angeles CA 90029,34.0890364,-118.28888490000001,9,44
City Terrace Elementary,90063,K- 5,E,5-Vacant,4350 City Terrace Dr Los Angeles CA 90063,34.056952700000004,-118.1712983,0,0
Coliseum Street Elementary,90016,K- 5,W,1-Dr George J McKenna III,4400 Coliseum St Los Angeles CA 90016,34.018094500000004,-118.34354760000001,2,23
George Washington Carver Middle School,90011,6- 8,C,5-Vacant,4410 Mc Kinley Ave Los Angeles CA 90011,34.003133,-118.2621,8,60
Marguerite Poindexter LaMotte Elementary,90037,K- 5,C,1-Dr George J McKenna III,4410 Orchard Ave Los Angeles CA 90037,34.0260907,-118.28823829999999,8,50
KIPP Vida Preparatory Academy,90037,K- 4,XR,1-Dr George J McKenna III,4410 S Budlong Ave Los Angeles CA 90037,34.003387,-118.2956835,19,75
Nueva Vista Elementary,90201,K- 6,E,5-Vacant,4412 Randolph St Bell CA 90201,33.9809106,-118.1882376,0,0
Huntington Drive Elementary,90032,K- 6,E,2-Monica Garcia,4435 N Huntington Dr Los Angeles CA 90032,34.0826932,-118.1918344,1,10
Jaime Escalante Elementary School,90201,K- 6,E,5-Vacant,4443 Live Oak St Cudahy CA 90201,33.968362,-118.18853500000002,0,0
Bryson Avenue Elementary Science/Tech/Math Magnet,90280,1- 5,E,5-Vacant,4470 Missouri Ave South Gate CA 90280,33.944823799999995,-118.1926976,0,0
Inner City Education Foundation Vista Elementary Academy,90066,K- 5,XR,4-Nick Melvoin,4471 Inglewood Blvd Los Angeles CA 90066,33.99455220000001,-118.41870630000001,18,24
Ramon C Cortines School of Visual & Performing Arts,90012,9-12,C,2-Monica Garcia,450 N Grand Ave Los Angeles CA 90012,34.0599321,-118.2442108,11,72
Woodrow Wilson Senior High,90032,9-12,E,2-Monica Garcia,4500 Multnomah St Los Angeles CA 90032,34.069770500000004,-118.1863639,2,10
Normandie Avenue Elementary,90037,K- 5,C,1-Dr George J McKenna III,4505 S Raymond Ave Los Angeles CA 90037,34.002928999999995,-118.29899999999999,16,70
Walter Reed Middle School,91602,6- 8,NE,3-Scott M Schmerelson,4525 Irvine Ave North Hollywood CA 91602,34.152956599999996,-118.3860967,1,14
Alfonso B Perez Special Education Center,90022,6-12,E,2-Monica Garcia,4540 Michigan Ave Los Angeles CA 90022,34.038796600000005,-118.16804840000002,0,0
Toland Way Elementary,90041,K- 6,C,5-Vacant,4545 Toland Way Los Angeles CA 90041,34.1212287,-118.2172545,6,19
Theodore Roosevelt Senior High,90033,9-12,E,2-Monica Garcia,456 S Mathews St Los Angeles CA 90033,34.0375223,-118.2120058,13,42
Lexington Avenue Primary Center,90029,K- 2,C,5-Vacant,4564 W Lexington Ave Los Angeles CA 90029,34.0927845,-118.28797140000002,6,34
Alliance Alice M Baxter College Ready High School,90731,9-12,XR,7-Dr Richard A Vladovic,461 W 9th St San Pedro CA 90731,33.7357534,-118.28724059999999,47,83
Alliance P & P Neuwirth College Ready High School,90037,9-12,XR,7-Dr Richard A Vladovic,4610 S Main St Los Angeles CA 90037,34.0012848,-118.2738304,20,71
Brooklyn Avenue Elementary,90022,K- 8,E,2-Monica Garcia,4620 Cesar Chavez Ave Los Angeles CA 90022,34.0397088,-118.16420649999999,0,0
Los Angeles Senior High,90019,9-12,W,1-Dr George J McKenna III,4650 W Olympic Blvd Los Angeles CA 90019,34.055405,-118.3329852,4,17
Monterey Continuation High,90022,9-12,E,2-Monica Garcia,466 S Fraser Ave Los Angeles CA 90022,34.0283414,-118.1588828,0,0
4th Street Primary Center,90022,K- 1,E,2-Monica Garcia,469 Amalia Ave Los Angeles CA 90022,34.0272893,-118.15441640000002,0,0
View Park Continuation High,90016,9-12,W,1-Dr George J McKenna III,4701 Rodeo Rd Los Angeles CA 90016,34.021839899999996,-118.34827220000001,2,15
Braddock Drive Elementary,90230,K- 5,W,4-Nick Melvoin,4711 Inglewood Blvd Culver City CA 90230,33.9929575,-118.415503,20,23
Para Los Ninos - Evelyn Thurman Gratts Primary,90017,K- 1,XR,2-Monica Garcia,474 S Hartford Ave Los Angeles CA 90017,34.056217600000004,-118.26392009999999,10,98
Griffith Middle School STEAM Magnet,90022,6- 8,E,2-Monica Garcia,4765 E 4th St Los Angeles CA 90022,34.031282899999994,-118.1620496,0,0
KIPP Iluminar Academy,90022,K- 1,XR,2-Monica Garcia,4800 E Cesar Chavez Ave Los Angeles CA 90022,34.0402535,-118.16140970000001,0,0
Arroyo Seco Museum Science Magnet,90042,K- 8,C,2-Monica Garcia,4805 Sycamore Terr Los Angeles CA 90042,34.1024094,-118.2038205,2,20
Elizabeth Learning Center,90201,K-12,E,5-Vacant,4811 Elizabeth St Cudahy CA 90201,33.9631779,-118.18290719999999,0,0
Toluca Lake Elementary,91601,K- 5,NE,4-Nick Melvoin,4840 Cahuenga Blvd North Hollywood CA 91601,34.1592791,-118.3612155,5,18
Morris K Hamasaki El Medical/Science Magnet,90022,1- 5,E,2-Monica Garcia,4865 E 1st St Los Angeles CA 90022,34.0373561,-118.16018390000002,0,0
George de la Torre Jr Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,500 N Island Ave Wilmington CA 90744,33.7764426,-118.26590039999999,20,28
Humphreys Avenue Elementary,90022,K- 5,E,2-Monica Garcia,500 S Humphreys Ave Los Angeles CA 90022,34.0289434,-118.17082509999999,0,0
Van Ness Avenue Elementary,90004,K- 5,W,4-Nick Melvoin,501 N Van Ness Ave Los Angeles CA 90004,34.0808105,-118.31607690000001,12,92
Puente Charter,90033,K- K,XR,2-Monica Garcia,501 S Boyle Ave Los Angeles CA 90033,34.0415799,-118.2201788,4,31
Crenshaw Magnets: Science Tech Engineer Math & Medicine,90043,9-12,W,1-Dr George J McKenna III,5010 11th Ave Los Angeles CA 90043,33.997372,-118.3285655,21,53
Serrania Avenue Charter for Enriched Studies,91364,K- 5,NW,4-Nick Melvoin,5014 Serrania Ave Woodland Hills CA 91364,34.160522,-118.587346,0,3
Buchanan Street Elementary Science/Tech/Math Magnet,90042,K- 5,C,5-Vacant,5024 Buchanan St Los Angeles CA 90042,34.1192482,-118.20637690000001,7,17
Ellen Ochoa Learning Center,90201,K- 8,E,5-Vacant,5027 Live Oak St Cudahy CA 90201,33.9678828,-118.1767795,0,0
ICEF Innovation Los Angeles Charter,90037,K- 5,XR,1-Dr George J McKenna III,5029 S Vermont Ave Los Angeles CA 90037,33.997091499999996,-118.29188159999998,20,71
Rosewood Avenue Elementary Urban Planning/Design Magnet,90048,K- 5,W,4-Nick Melvoin,503 N Croft Ave Los Angeles CA 90048,34.0806155,-118.37453290000002,3,13
Robert A Millikan Affiliated Charter and Performing Arts MS,91423,6- 8,NE,3-Scott M Schmerelson,5041 Sunnyslope Ave Sherman Oaks CA 91423,34.163518700000004,-118.42848700000002,1,15
Nestle Avenue Charter,91356,K- 5,NW,4-Nick Melvoin,5060 Nestle Ave Tarzana CA 91356,34.161862,-118.529913,3,10
Dahlia Heights Elementary,90041,K- 6,C,5-Vacant,5063 Floristan Ave Los Angeles CA 90041,34.138537299999996,-118.1991595,1,5
Figueroa Street Elementary,90044,K- 5,S,7-Dr Richard A Vladovic,510 W 111th St Los Angeles CA 90044,33.934388,-118.2829473,17,55
James A Garfield Senior High,90022,9-12,E,2-Monica Garcia,5101 E 6th St Los Angeles CA 90022,34.0254305,-118.1578243,0,0
Holmes Avenue Elementary,90058,K- 6,E,5-Vacant,5108 Holmes Ave Los Angeles CA 90058,33.9957647,-118.2404646,15,28
Alliance Marc & Eva Stern Math & Science School,90032,9-12,XR,5-Vacant,5151 State University Dr Lot2 Los Angeles CA 90032,34.066769799999996,-118.1684392,0,7
KIPP Academy of Innovation,90022,5- 8,XR,5-Vacant,5164 Whittier Blvd Los Angeles CA 90022,34.020335700000004,-118.1581416,0,0
Maywood Elementary School,90270,K- 5,E,5-Vacant,5200 Cudahy Ave Maywood CA 90270,33.99330560000001,-118.1839875,0,0
Kingsley Elementary School,90029,K- 5,W,5-Vacant,5200 W Virginia Ave Los Angeles CA 90029,34.091666,-118.3028793,47,123
Wilbur Charter for Enriched Academics,91356,K- 5,NW,4-Nick Melvoin,5213 Crebs Ave Tarzana CA 91356,34.164432,-118.54470400000001,1,8
Windsor Hills Elementary Math/Science Aerospace Magnet,90043,K- 5,W,1-Dr George J McKenna III,5215 Overdale Dr Los Angeles CA 90043,33.9957253,-118.3556932,0,2
International Studies Learning Center,90280,6-12,E,5-Vacant,5225 Tweedy Blvd South Gate CA 90280,33.941267100000005,-118.1789574,0,0
North Hollywood Senior High,91601,9-12,NE,3-Scott M Schmerelson,5231 Colfax Ave North Hollywood CA 91601,34.1666154,-118.38956280000001,6,25
Wilshire Crest Elementary,90036,K- 5,W,1-Dr George J McKenna III,5241 W Olympic Blvd Los Angeles CA 90036,34.057988,-118.343595,1,16
Cesar Chavez Elementary School,90032,K- 6,E,2-Monica Garcia,5243 Oakland St Los Angeles CA 90032,34.0886468,-118.1680828,4,13
Lankershim Elementary,91601,K- 5,NE,3-Scott M Schmerelson,5250 Bakman Ave North Hollywood CA 91601,34.16635,-118.37683600000001,16,38
ICEF View Park Preparatory MS,90043,6- 8,XR,1-Dr George J McKenna III,5311 Crenshaw Blvd Los Angeles CA 90043,33.9943634,-118.3311751,13,43
Kester Avenue Elementary,91411,K- 5,NE,3-Scott M Schmerelson,5353 Kester Ave Van Nuys CA 91411,34.167578999999996,-118.458537,4,20
Amelia Earhart Continuation High School,91601,9-12,NE,3-Scott M Schmerelson,5355 Colfax Ave North Hollywood CA 91601,34.1680679,-118.3880348,6,31
Alliance Ouchi-O'Donovan 6-12 Complex,90043,6-12,XR,1-Dr George J McKenna III,5356 S 5th Ave Los Angeles CA 90043,33.993472600000004,-118.3222229,13,49
Saturn Street Elementary,90019,K- 5,W,1-Dr George J McKenna III,5360 Saturn St Los Angeles CA 90019,34.046602500000006,-118.3561935,5,31
Hawaiian Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,540 Hawaiian Ave Wilmington CA 90744,33.775751,-118.27618729999999,11,24
Baldwin Hills Elementary,90016,K- 5,W,1-Dr George J McKenna III,5421 Rodeo Rd Los Angeles CA 90016,34.022506,-118.36529499999999,5,10
Monte Vista Street Elementary,90042,2- 6,C,5-Vacant,5423 Monte Vista St Los Angeles CA 90042,34.1100939,-118.19826840000002,7,14
Henry David Thoreau Continuation High,91364,9-12,NW,4-Nick Melvoin,5429 Quakertown Ave Woodland Hills CA 91364,34.169030600000006,-118.56997240000001,10,11
Bright Star Secondary Academy,90045,9-12,XR,4-Nick Melvoin,5431 W 98th St Los Angeles CA 90045,33.9484199,-118.375952,6,18
High Tech LA Middle,91411,6- 7,XR,6-Kelly Gonez,5435 Vesper Ave Van Nuys CA 91411,34.1695042,-118.4512307,7,53
Boyle Heights Continuation High,90033,9-12,E,2-Monica Garcia,544 S Mathews St Los Angeles CA 90033,34.0376714,-118.21126880000001,16,42
El Camino Real Charter High School,91367,9-12,XR,3-Scott M Schmerelson,5440 Valley Circle Blvd Woodland Hills CA 91367,34.170164899999996,-118.64314569999999,1,5
Animo Westside Charter Middle School,90066,6- 8,XR,4-Nick Melvoin,5456 Mcconnell Ave Los Angeles CA 90066,33.9775312,-118.4185456,0,4
William Howard Taft Charter High School,91364,9-12,NW,4-Nick Melvoin,5461 Winnetka Ave Woodland Hills CA 91364,34.1696153,-118.57168229999999,11,11
54th Street Elementary,90043,K- 5,W,1-Dr George J McKenna III,5501 S Eileen Ave Los Angeles CA 90043,33.9919629,-118.34331840000002,1,22
Bushnell Way Elementary,90042,K- 5,C,5-Vacant,5507 Bushnell Way Los Angeles CA 90042,34.102383,-118.18903780000001,0,6
East Valley Senior High,91601,9-12,NE,6-Kelly Gonez,5525 Vineland Ave North Hollywood CA 91601,34.1705929,-118.37153290000002,14,35
Richard Riordan Primary Center,90042,K- 1,C,5-Vacant,5531 Monte Vista St Los Angeles CA 90042,34.1112688,-118.1961206,9,15
Open Charter Magnet,90045,K- 5,W,4-Nick Melvoin,5540 W 77th St Los Angeles CA 90045,33.968163200000006,-118.37828909999999,0,9
Citizens of the World Silver Lake,90028,K- 4,XR,5-Vacant,5616 Carlton Way Los Angeles CA 90028,34.0996454,-118.3124848,50,209
Yorkdale Elementary,90042,K- 5,C,5-Vacant,5657 Meridian St Los Angeles CA 90042,34.120906299999994,-118.19413279999999,6,18
Clemente Charter School,90270,K- 6,XR,5-Vacant,5701 Fishburn Ave Maywood CA 90270,33.989427899999995,-118.19135700000001,0,0
ICEF View Park Preparatory HS,90043,9-12,XR,1-Dr George J McKenna III,5701 S Crenshaw Blvd Los Angeles CA 90043,33.990283399999996,-118.33124120000001,10,45
Tarzana Elementary,91356,K- 5,NW,4-Nick Melvoin,5726 Topeka Dr Tarzana CA 91356,34.1748974,-118.54581609999998,4,28
The City School,90016,6- 8,XR,4-Nick Melvoin,5753 Obama Blvd Los Angeles CA 90016,34.0220016,-118.3711378,4,8
Richard A Alonzo Community Day School,90028,7-12,W,4-Nick Melvoin,5755 Fountain Ave Los Angeles CA 90028,34.0948999,-118.31511440000001,51,244
Morningside Elementary,91340,K- 5,NE,6-Kelly Gonez,576 N Maclay Ave San Fernando CA 91340,34.2882223,-118.43388020000002,0,11
Maywood Center for Enriched Studies (MaCES) Magnet,90270,6-12,E,5-Vacant,5800 King Ave Maywood CA 90270,33.9873205,-118.1830899,0,0
Alliance Kory Hunter Middle School,90001,6- 8,XR,7-Dr Richard A Vladovic,5886 Compton Ave Los Angeles CA 90001,33.987055700000006,-118.24745039999999,10,26
Lillian Street Elementary,90001,K- 6,E,5-Vacant,5909 Lillian St Los Angeles CA 90001,33.986352200000006,-118.24067099999999,9,18
Heliotrope Avenue Elementary,90270,K- 5,E,5-Vacant,5911 Woodlawn Ave Maywood CA 90270,33.98580889999999,-118.1769037,0,0
California Collegiate Charter,90044,6- 7,XR,1-Dr George J McKenna III,5929 S Vermont Ave Los Angeles CA 90044,33.9865188,-118.2920462,14,76
Los Angeles Center for Enriched Studies (LACES) Magnet,90035,6-12,W,1-Dr George J McKenna III,5931 W 18th St Los Angeles CA 90035,34.0438008,-118.37153290000002,8,34
59th Street Elementary,90043,K- 5,W,1-Dr George J McKenna III,5939 Second Ave Los Angeles CA 90043,33.9860362,-118.3199397,2,49
Budlong Avenue Elementary,90044,K- 5,W,1-Dr George J McKenna III,5940 S Budlong Ave Los Angeles CA 90044,33.986184,-118.293935,13,67
New Horizons Charter Academy,91601,K- 7,XR,6-Kelly Gonez,5955 Lankershim Blvd North Hollywood CA 91601,34.1788313,-118.3835842,5,36
Rise Kohyang High,90057,9-10,XR,2-Monica Garcia,600 S Lafayette Park Pl 2nd F Los Angeles CA 90057,34.0624284,-118.28217079999999,41,97
John Burroughs Middle School Gifted Magnet,90005,6- 8,W,1-Dr George J McKenna III,600 S Mc Cadden Pl Los Angeles CA 90005,34.0636937,-118.3363325,1,6
Rowan Avenue Elementary,90023,K- 5,E,2-Monica Garcia,600 S Rowan Ave Los Angeles CA 90023,34.0282941,-118.18714080000001,1,14
Westport Heights Elementary,90045,K- 5,W,4-Nick Melvoin,6011 W 79th St Los Angeles CA 90045,33.9670289,-118.388425,0,10
Cheremoya Avenue Elementary,90028,K- 6,W,4-Nick Melvoin,6017 Franklin Ave Los Angeles CA 90028,34.1056527,-118.32067079999999,61,409
Huntington Park Senior High,90255,9-12,E,5-Vacant,6020 Miles Ave Huntington Park CA 90255,33.986631200000005,-118.2188995,0,0
61st Street Elementary,90003,K- 6,W,1-Dr George J McKenna III,6020 S Figueroa St Los Angeles CA 90003,33.9844968,-118.2819881,28,90
Chester W Nimitz Middle School,90255,6- 8,E,5-Vacant,6021 Carmelita Ave Huntington Park CA 90255,33.9858976,-118.19719450000001,0,0
Alliance Jack H Skirball Middle School,90059,6- 8,XR,7-Dr Richard A Vladovic,603 E 115th St Los Angeles CA 90059,33.9304172,-118.264973,8,74
Bridge Street Elementary,90033,K- 5,E,2-Monica Garcia,605 N Boyle Ave Los Angeles CA 90033,34.052647799999995,-118.216889,10,23
John B Monlux Elementary,91606,K- 5,NE,3-Scott M Schmerelson,6051 Bellaire Ave North Hollywood CA 91606,34.181682,-118.40996399999999,2,23
Huntington Park Elementary Dual Language Spanish,90255,K- 1,E,5-Vacant,6055 Corona Ave Huntington Park CA 90255,33.9848797,-118.1950754,0,0
Dayton Heights Elementary,90004,K- 5,C,5-Vacant,607 N Westmoreland Ave Los Angeles CA 90004,34.082133,-118.2883368,9,52
Diego Rivera Learning Complex Communication & Technology,90001,9-12,S,7-Dr Richard A Vladovic,6100 S Central Ave Los Angeles CA 90001,33.983250299999995,-118.2554946,3,31
Crete Academy,90043,K- 6,XR,1-Dr George J McKenna III,6103 Crenshaw Blvd Los Angeles CA 90043,33.984497499999996,-118.3312625,17,33
Harold McAlister High School CYESIS,90057,6-12,C,2-Monica Garcia,611 S Carondelet St Los Angeles CA 90057,34.0611239,-118.28034380000001,48,99
Gil Garcetti Learning Academy,90044,K- 6,S,7-Dr Richard A Vladovic,612 W 68th St Los Angeles CA 90044,33.9772612,-118.28434299999999,30,92
Maywood Academy Senior High,90270,9-12,E,5-Vacant,6125 Pine Ave Maywood CA 90270,33.9829878,-118.18887279999998,0,0
Annandale Elementary,90042,K- 5,C,5-Vacant,6125 Poppy Peak Dr Los Angeles CA 90042,34.1285474,-118.18666090000002,3,12
Warner Avenue Elementary,90024,K- 5,W,4-Nick Melvoin,615 Holmby Ave Los Angeles CA 90024,34.0696414,-118.43333259999999,1,3
Young Oak Kim Academy,90005,6- 8,C,2-Monica Garcia,615 S Shatto Pl Los Angeles CA 90005,34.0633021,-118.29020940000001,29,114
Solano Avenue Elementary,90012,K- 6,E,2-Monica Garcia,615 Solano Ave Los Angeles CA 90012,34.076153999999995,-118.232196,2,15
Lockhurst Drive Charter Elementary,91367,K- 5,NW,3-Scott M Schmerelson,6170 Lockhurst Dr Woodland Hills CA 91367,34.1833399,-118.64703440000001,3,8
San Antonio Elementary,90255,K- 5,E,5-Vacant,6222 State St Huntington Park CA 90255,33.9831034,-118.2120477,0,0
Sylvan Park Elementary,91411,K- 5,NE,6-Kelly Gonez,6238 Noble Ave Van Nuys CA 91411,34.183604100000004,-118.46144070000001,10,108
Equitas Academy 4,90005,5- 5,XR,4-Nick Melvoin,631 S Commonwealth Ave Los Angeles CA 90005,34.06242599999999,-118.28587009999998,34,110
Woodlawn Avenue Elementary,90201,K- 5,E,5-Vacant,6314 Woodlawn Ave Bell CA 90201,33.9779925,-118.1776226,0,0
Victory Boulevard Elementary,91606,K- 5,NE,6-Kelly Gonez,6315 Radford Ave North Hollywood CA 91606,34.1855899,-118.3922898,11,32
Aldama Elementary,90042,K- 5,C,5-Vacant,632 N Avenue 50 Los Angeles CA 90042,34.1102323,-118.2064709,4,15
Carthay Elementary of Environmental Studies Magnet,90048,K- 5,W,1-Dr George J McKenna III,6351 W Olympic Blvd Los Angeles CA 90048,34.059194700000006,-118.3691642,2,30
Linda Esperanza Marquez Senior High HPIAM,90255,9-12,E,5-Vacant,6361 Cottage St Huntington Park CA 90255,33.9819497,-118.2338757,0,10
Martha Escutia Primary Center,90201,K- K,E,5-Vacant,6401 Bear Ave Bell CA 90201,33.9791701,-118.1977607,0,0
Mountain View Elementary,91042,K- 5,NE,6-Kelly Gonez,6410 Olcott St Tujunga CA 91042,34.2488873,-118.2723504,1,6
Magnolia Science Academy Bell @ South Region MS #2A,90201,6- 8,XR,5-Vacant,6411 Orchard Ave Bell CA 90201,33.9791247,-118.20005420000001,0,0
Summit Preparatory Charter,90011,4- 4,XR,7-Dr Richard A Vladovic,644 56th St Los Angeles CA 90011,33.990728499999996,-118.2642196,16,60
Alliance Dr Olga Mohan High School,90015,9-12,XR,2-Monica Garcia,644 W 17th St Los Angeles CA 90015,34.0369283,-118.2722591,30,88
Kenter Canyon Elementary Charter,90049,K- 5,W,4-Nick Melvoin,645 N Kenter Ave Los Angeles CA 90049,34.0707234,-118.4890885,0,0
Luther Burbank Middle School Arts/Technology/Community Mag,90042,6- 8,C,5-Vacant,6460 N Figueroa St Los Angeles CA 90042,34.11972069999999,-118.1833019,4,10
Van Nuys Elementary,91401,K- 5,NE,6-Kelly Gonez,6464 Sylmar Ave Van Nuys CA 91401,34.188146,-118.44544099999999,75,125
